File	SNPs	High	Low
Acute_lymphoblastic_leukemia_B-cell_precursor	6	6	15
Acute_lymphoblastic_leukemia_childhood	9	0	1
Adiponectin_levels	28	0	1
Allergic_sensitization	10	0	1
Atrial_fibrillation	14	1	13
Birth_weight	7	0	1
Blood_pressure	43	7	19
Breast_cancer	84	13	49
Celiac_disease	30	9	18
Celiac_disease_and_Rheumatoid_arthritis	12	8	12
Chronic_kidney_disease	27	0	8
Chronic_lymphocytic_leukemia	27	40	62
Colorectal_cancer	26	1	4
Corneal_structure	27	0	3
Crohns_disease	157	39	76
Endometriosis	8	2	5
Erythrocyte_sedimentation_rate	5	1	3
Fasting_glucose-related_traits	17	0	2
Fasting_glucose-related_traits_interaction_with_BMI	22	0	4
Fractional_exhaled_nitric_oxide_childhood	6	0	5
HDL_cholesterol	123	1	3
Heart_rate	24	0	1
Height	346	81	143
Hematological_parameters	9	0	1
Hodgkins_lymphoma	9	0	1
IgA_nephropathy	7	1	4
Inflammatory_bowel_disease	117	139	207
Liver_enzyme_levels_gamma-glutamyl_transferase	26	1	6
Mean_corpuscular_hemoglobin	29	2	4
Mean_platelet_volume	51	1	2
Migraine	13	0	2
Multiple_myeloma	6	2	9
Multiple_sclerosis	74	32	43
Myopia_pathological	37	0	2
Platelet_counts	64	30	51
Primary_biliary_cirrhosis	26	1	2
Proinsulin_levels	9	0	1
Prostate_cancer	86	2	11
Pulmonary_function	29	7	24
QRS_duration	12	2	8
QT_interval	29	0	2
Red_blood_cell_traits	60	3	9
Renal_function-related_traits_BUN	13	9	30
Restless_legs_syndrome	9	0	1
Rheumatoid_arthritis	127	8	16
Schizophrenia	49	0	1
Sphingolipid_levels	13	0	1
Systemic_lupus_erythematosus	51	7	14
Systemic_lupus_erythematosus_and_Systemic_sclerosis	11	0	6
Systemic_sclerosis	14	1	4
Systolic_blood_pressure	24	0	9
Telomere_length	9	0	1
Thyroid_cancer	6	0	1
Thyroid_volume	6	0	2
Type_1_diabetes	53	0	1
Ulcerative_colitis	88	1	1
Urate_levels	49	3	13
Waist-hip_ratio	8	3	25
White_blood_cell_count	18	1	2
White_blood_cell_types	12	1	4
